Feature,Score,MeanScore
stoch,[0.07484754 0.0230027  0.05730379],0.05171801140802174
aroon_down,[0.02105473 0.00597785 0.02703564],0.01802274015782906
Taker buy base asset volume,[0.0035325 0.0078697 0.005368 ],0.005590067633892693
Number of trades,[0.0058154  0.00467088 0.0017914 ],0.004092560057207833
Quote asset volume,[0.0059539  0.003863   0.00208619],0.003967695774354212
obv,[0.00229551 0.00300457 0.00490257],0.0034008839282291792
rsi,[0.00256355 0.00144887 0.00136354],0.0017919872870209486
Close,[0.00106365 0.00134167 0.00171822],0.0013745135582238256
Low,[0.00123774 0.00077116 0.00045447],0.0008211241916494799
Close_MA_7,[0.00110369 0.00073287 0.00034326],0.0007266035798439064
aroon_up,[0.00106414 0.00072734 0.00032749],0.0007063202228143354
bollinger_hband,[0.0006021  0.00028068 0.00027277],0.00038518212232641785
Volume,[5.43847246e-05 1.02477176e-04 1.33282762e-04],9.67148877162991e-05
Close_MA_14,[6.16421711e-05 2.89905558e-05 2.57739431e-05],3.88022233326135e-05
Open,[3.73704033e-05 1.69487554e-05 7.38615433e-06],2.0568437704501347e-05
Taker buy quote asset volume,[3.25264819e-05 1.69334920e-05 9.98677773e-06],1.9815583858716402e-05
macd,[2.77157467e-05 1.17923503e-05 1.68659673e-05],1.87913547541687e-05
bollinger_lband,[2.85253500e-05 1.09430099e-05 1.64332380e-05],1.863386594273829e-05
Close_MA_50,[2.35817476e-05 1.08640240e-05 1.20480510e-05],1.549794086020332e-05
High,[2.27411847e-05 1.30557466e-05 9.65621236e-06],1.5151047875454873e-05
Close_MA_25,[2.29155703e-05 1.78176915e-05 3.18758648e-06],1.4640282751957788e-05
