feature,importance
macd,7.666453275635346e-07
stoch,7.071710085597139e-07
obv,4.819527227149011e-07
aroon_up,3.9801874627786944e-07
Volume,3.0900936953539753e-07
Close_MA_50,2.8925605242754105e-07
phase,2.6904667587483527e-07
Close,2.5314626059511185e-07
Close_MA_14,2.4290073276880246e-07
Open,1.6836821562763585e-07
Close_MA_25,1.0710732038682166e-07
rsi,9.791251775449605e-08
Close_MA_7,8.233108553938035e-08
aroon_down,6.07779277742255e-08
Taker buy quote asset volume,5.75581283393895e-08
Quote asset volume,4.5220503945431165e-08
High,3.794319896121752e-08
bollinger_lband,3.330458166767737e-08
bollinger_hband,2.1267303215463935e-08
Number of trades,1.8160987407646983e-08
Taker buy base asset volume,1.8060687472440043e-08
Low,1.3024769420779743e-08
