Feature,Importance
Stoch,0.00615703312244163
MACD,0.0044329439746317026
Aroon_up,0.003107321665793882
Aroon_down,0.003016202947621391
Phase,0.002365604445737945
Taker buy base asset volume,0.002310426275428146
RSI,0.0021680307518112175
Open,0.0018598548626981234
Close,0.0013292999201536754
Close_MA_25,0.0013062219696297623
High,0.001246821314980824
OBV,0.001233834585267346
Low,0.0010290789364726042
Quote asset volume,0.0008625387787190368
Number of trades,0.0008197162292205927
Volume,0.0005639586517500476
Taker buy quote asset volume,0.0005589207135521169
Bollinger_lband,0.00035714404095037216
Close_MA_50,0.0002831968800356513
Close_MA_14,0.0002690480020107025
Bollinger_hband,0.00023900878649672452
Close_MA_7,0.0001327110193522477
