max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.4421906693711968,,0.32474662981158386,0.2954049546454575,0.4421906693711968
3.0,1.0,100.0,,0.4421906693711968,,0.32474662981158386,0.2954049546454575,0.4421906693711968
3.0,1.0,150.0,,0.4462474645030426,,0.323288995487721,0.29454449724128307,0.4462474645030426
3.0,1.0,200.0,,0.4462474645030426,,0.32310066715150654,0.2961216428495173,0.4462474645030426
6.0,1.0,50.0,,0.44421906693711966,,0.32613260234196517,0.2964575529369053,0.44421906693711966
6.0,1.0,100.0,,0.44421906693711966,,0.3299116856583158,0.30011471461889677,0.44421906693711966
6.0,1.0,150.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
6.0,1.0,200.0,,0.4421906693711968,,0.32866397928698854,0.2978110162984113,0.4421906693711968
10.0,1.0,50.0,,0.44421906693711966,,0.32613260234196517,0.2964575529369053,0.44421906693711966
10.0,1.0,100.0,,0.44421906693711966,,0.3299116856583158,0.30011471461889677,0.44421906693711966
10.0,1.0,150.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
10.0,1.0,200.0,,0.44421906693711966,,0.3299116856583158,0.30011471461889677,0.44421906693711966
